0
team      round score goal  fan
firenze   14    32    26    108
marsiglia 14    22    26    98
milano    14    20    24    94
turino    14    20    22    92
genoa     14    17    19    86
tunisia   14    17    18    85
venezia   14    16    19    85
bologna   14    10    15    75
name           goal   team
keegan         6      milano
bergkemp       5      firenze
ronaldo        4      milano
rivera         4      turino
careca         4      turino
donadoni       4      turino
zico           4      venezia
socrates       4      venezia
zidane         4      marsiglia
matthaeus      4      marsiglia
name           assist team
desaily        7      marsiglia
p.rossi        6      firenze
keegan         5      milano
hurst          5      milano
daglish        4      genoa
beckenbauer    4      tunisia
garrincha      4      venezia
vieri          4      bologna
r.baggio       4      venezia
cabrini        4      firenze
name           score  team
kopa           65      bologna
g.muller       64      turino
keegan         64      milano
rivera         63      turino
raul           62      turino
careca         62      turino
donadoni       61      turino
ronaldo        61      milano
garrincha      61      venezia
b.chalton      61      bologna
player       goal assist score
kahn           0     0     5.800000000000001

cantona        3     1     5.800000000000001

ronaldo        4     4     6.1000000000000005

rijkaard       1     1     6.0

facchetti      2     1     5.9

papin          4     2     6.0

keegan         6     5     6.4

bierhoff       0     2     5.9

hurst          1     5     5.800000000000001

kaka           2     1     5.5

blanc          1     2     5.7

score 20 goal 24 number of fans 94
buffon         0     0     6.0

eusebio        1     4     6.0

rivera         4     3     6.300000000000001

raul           0     2     6.2

g.muller       2     4     6.4

henry          1     0     5.6000000000000005

careca         4     3     6.2

conti          2     1     5.6000000000000005

gascoigne      2     2     5.800000000000001

donadoni       4     2     6.1000000000000005

cassano        2     1     5.800000000000001

score 20 goal 22 number of fans 92
zoff           0     0     5.7

gullit         2     2     5.800000000000001

puskas         0     3     5.7

b.moore        1     1     6.0

baresi         2     4     5.7

owen           2     1     5.9

p.falcao       3     0     5.800000000000001

daglish        2     4     5.9

shevchenko     3     2     6.0

deisler        1     1     6.0

stam           3     1     5.9

score 17 goal 19 number of fans 86
chilavert      0     0     5.7

cruyff         1     1     5.7

v.basten       1     2     5.7

garrincha      2     4     6.1000000000000005

zico           4     3     5.800000000000001

stoichkov      1     0     5.800000000000001

kempes         3     1     5.7

socrates       4     1     5.9

r.baggio       2     4     6.0

totti          1     1     5.7

g.weah         0     2     5.800000000000001

score 16 goal 19 number of fans 85
zenga          0     0     5.6000000000000005

platini        1     3     5.7

nedved         3     2     6.0

zidane         4     3     5.9

m.laudrup      3     1     5.9

matthaeus      4     1     5.800000000000001

hagi           1     3     5.800000000000001

desaily        4     7     6.0

h.shanchez     0     2     5.5

maldini        4     2     6.0

r.keane        2     2     5.800000000000001

score 22 goal 26 number of fans 98
yashin         0     0     5.5

beckenbauer    2     4     5.5

ronaldinho     2     2     5.300000000000001

r.koeman       1     1     5.4

tostao         0     1     5.4

rensenbrink    2     2     5.6000000000000005

ballack        3     0     5.4

crespo         0     1     5.300000000000001

v.nistelrooy   4     3     5.7

lampard        2     2     5.6000000000000005

pele           2     2     5.6000000000000005

score 17 goal 18 number of fans 85
banks          0     0     5.7

d.stifano      1     1     5.9

b.chalton      0     0     6.1000000000000005

g.best         2     1     5.7

kopa           1     1     6.5

vialli         2     2     6.0

neeskens       2     3     6.0

mancini        0     2     5.5

trezeguet      3     0     5.7

b.laudrup      2     1     5.800000000000001

vieri          2     4     5.9

score 10 goal 15 number of fans 75
schmeichel     0     0     5.5

maradona       2     3     5.7

beckham        3     1     5.6000000000000005

klinsman       0     0     5.2

didi           3     3     5.800000000000001

brehme         4     1     5.6000000000000005

batistuta      2     3     5.6000000000000005

cabrini        2     4     5.5

p.rossi        2     6     5.9

canavaro       3     3     5.6000000000000005

bergkemp       5     2     5.800000000000001

score 32 goal 26 number of fans 108
papin from milano to turino
rivera from turino to milano
daglish from genoa to venezia
stoichkov from venezia to genoa
m.laudrup from marsiglia to tunisia
ballack from tunisia to marsiglia
neeskens from bologna to firenze
canavaro from firenze to bologna
#########################################################################
########################################################################
new season
#####################################################################
###################################################################
1
team      round score goal  fan
tunisia   14    27    23    92
marsiglia 14    26    24    99
turino    14    22    25    93
bologna   14    21    22    80
milano    14    17    18    82
venezia   14    16    14    72
firenze   14    15    14    83
genoa     14    10    15    68
name           goal   team
g.muller       7      turino
blanc          6      milano
canavaro       5      bologna
mancini        4      bologna
pele           4      tunisia
papin          4      turino
ballack        4      marsiglia
careca         3      turino
m.laudrup      3      tunisia
r.keane        3      marsiglia
name           assist team
zidane         6      marsiglia
trezeguet      6      bologna
g.muller       5      turino
ballack        4      marsiglia
h.shanchez     4      marsiglia
maradona       4      firenze
crespo         4      tunisia
rensenbrink    4      tunisia
b.moore        4      genoa
blanc          4      milano
name           score  team
didi           69      firenze
zidane         68      marsiglia
g.muller       67      turino
d.stifano      67      bologna
beckenbauer    66      tunisia
canavaro       66      bologna
bierhoff       66      milano
r.keane        66      marsiglia
papin          65      turino
b.chalton      65      bologna
player       goal assist score
schmeichel     0     0     6.2

maradona       3     4     6.5

beckham        1     1     6.5

klinsman       1     0     6.300000000000001

didi           2     3     6.9

brehme         1     0     6.300000000000001

batistuta      2     1     6.4

cabrini        1     1     6.300000000000001

p.rossi        1     0     6.0

neeskens       0     1     6.2

bergkemp       2     3     6.300000000000001

score 15 goal 14 number of fans 83
zenga          0     0     6.1000000000000005

platini        1     0     6.0

nedved         2     1     6.5

zidane         2     6     6.800000000000001

ballack        4     4     6.4

matthaeus      3     2     6.5

hagi           2     0     6.4

desaily        2     3     6.300000000000001

h.shanchez     3     4     6.5

maldini        2     1     6.300000000000001

r.keane        3     3     6.6000000000000005

score 26 goal 24 number of fans 99
kahn           0     0     6.1000000000000005

cantona        2     2     6.4

ronaldo        2     2     6.1000000000000005

rijkaard       1     3     6.2

facchetti      0     1     6.2

rivera         0     1     6.1000000000000005

keegan         1     0     6.0

bierhoff       1     1     6.6000000000000005

hurst          2     3     6.5

kaka           3     1     6.2

blanc          6     4     6.5

score 17 goal 18 number of fans 82
buffon         0     0     6.1000000000000005

eusebio        3     2     6.4

papin          4     4     6.5

raul           1     1     6.300000000000001

g.muller       7     5     6.7

henry          2     0     6.5

careca         3     2     6.5

conti          1     4     6.4

gascoigne      3     1     6.5

donadoni       0     4     6.2

cassano        1     2     6.4

score 22 goal 25 number of fans 93
zoff           0     0     6.0

gullit         1     4     6.2

puskas         1     1     6.300000000000001

b.moore        2     4     6.4

baresi         1     0     6.4

owen           1     2     6.300000000000001

p.falcao       0     0     6.0

stoichkov      1     2     6.5

shevchenko     3     1     6.4

deisler        2     1     6.5

stam           3     0     6.300000000000001

score 10 goal 15 number of fans 68
yashin         0     0     6.300000000000001

beckenbauer    2     2     6.6000000000000005

ronaldinho     1     4     6.5

r.koeman       1     2     6.2

tostao         1     1     6.300000000000001

rensenbrink    2     4     6.5

m.laudrup      3     2     6.5

crespo         3     4     6.300000000000001

v.nistelrooy   3     1     6.4

lampard        3     1     6.5

pele           4     2     6.5

score 27 goal 23 number of fans 92
chilavert      0     0     6.2

cruyff         1     0     6.1000000000000005

v.basten       1     1     6.1000000000000005

garrincha      1     1     6.4

zico           1     0     6.5

daglish        2     1     6.5

kempes         1     1     6.4

socrates       1     1     6.2

r.baggio       3     2     6.4

totti          2     3     6.5

g.weah         1     4     6.5

score 16 goal 14 number of fans 72
banks          0     0     6.1000000000000005

d.stifano      1     1     6.7

b.chalton      2     3     6.5

g.best         2     1     6.1000000000000005

kopa           1     1     6.4

vialli         3     0     6.4

canavaro       5     2     6.6000000000000005

mancini        4     3     6.5

trezeguet      0     6     6.1000000000000005

b.laudrup      1     2     6.4

vieri          3     3     6.4

score 21 goal 22 number of fans 80
didi from firenze to marsiglia
r.keane from marsiglia to firenze
facchetti from milano to turino
donadoni from turino to milano
p.falcao from genoa to tunisia
m.laudrup from tunisia to genoa
g.weah from venezia to bologna
kopa from bologna to venezia
####################################################################
####################################################################
##########################season end################################
####################################################################
####################################################################
1
team      round score goal  fan
tunisia   14    27    23    92
marsiglia 14    26    24    99
turino    14    22    25    93
bologna   14    21    22    80
milano    14    17    18    82
venezia   14    16    14    72
firenze   14    15    14    83
genoa     14    10    15    68
name           goal   team
g.muller       7      turino
blanc          6      milano
canavaro       5      bologna
ballack        4      marsiglia
pele           4      tunisia
papin          4      turino
mancini        4      bologna
eusebio        3      turino
matthaeus      3      marsiglia
h.shanchez     3      marsiglia
name           assist team
zidane         6      marsiglia
trezeguet      6      bologna
g.muller       5      turino
papin          4      turino
h.shanchez     4      marsiglia
crespo         4      tunisia
maradona       4      firenze
b.moore        4      genoa
rensenbrink    4      tunisia
blanc          4      milano
name           score  team
didi           69      firenze
zidane         68      marsiglia
g.muller       67      turino
d.stifano      67      bologna
canavaro       66      bologna
beckenbauer    66      tunisia
